nn,chapter,article,paragraph,name,summ
23,7,,,"Городское и сельское духовенство, миссіи и миссіонеры",15395784
,,1,,Городское и сельское духовенство,15354035
,,2,,Миссіи и миссіонеры,41749
24,8,,,Православныя духовныя учрежденія за границею,271490
,,1,,Содержаніе духовныхъ учрежденій за границею,271490
,,,,"Просвѣщенiе, науки и искусства",None
25,9,,,Духовно-учебныя заведенія,3299404
,,1,,Пособіе на содержаніе духовно-учебныхъ заведеній,3192509
,,2,,"Выдача третного не въ зачетъ жалованья лицамъ, опредѣляемымъ на учительскія должности въ духовно-учебныя заведенія",21000
,,3,,Выдачи по мѣстнымъ привилегіямъ службы:,85895
,,,а, путевыя пособія,19000
,,,б, прибавочное жалованье,63248
,,,в, пособія на воспитаніе дѣтей,3647
26,10,,,Церковныя школы,11976219
,,1,,Церковно-учительскія школы,444739
,,2,,Второклассныя школы,1828362
,,3,,Начальныя церковно приходскія школы и школы грамоты,9696218
,,4,,Преподаваніе сельскаго хозяйства,6900
27,11,,,"Увеличеніе содержанія учащихъ въ церковныхъ школахъ, вошедшихъ въ школьныя сѣти",8257000
,,,,Постройка зданій и пріобрѣтенiе недвижимыхъ имуществъ,8257000
28,12,,,Сооруженіе и ремонтъ зданій,995403
,,1,,"Постройка зданій, пріобрѣтеніе недвижимыхъ имуществъ, приспособленіе и оборудованіе помѣщеній",560000
,,2,,Ремонтъ,385403
,,3,,Пособіе на усиленіе фонда имени Императора Александра III на сооруженіе церквей въ переселенческихъ поселкахъ Сибири,50000
,,,,Пособія и вознагражденіе по разнымъ случаямъ,None
29,13,,,Пособія по разнымъ случаямъ,221328
,,1,,Обществу возстановленія православнаго христіанства на Кавказѣ,54928
,,2,,Императорскому Палестинскому Обществу,30000
,,3,,На содержаніе больницы и лечебницы для приходящихъ больныхъ Императора Николая II при Кіевскомъ Покровскомъ женскомъ монастырѣ,80000
,,4,,Обществу распространенія книгъ Священнаго Писанія,3000
,,5,,"Дочерямъ бывшаго Товарища Оберъ-Прокурора Св Сипода Тайн Сов Толстого, Еленѣ и Зоѣ",600
,,6,,На содержаніе Ростовскаго музея церковныхъ древностей,2300
,,7,,С-Петербургскому братству во имя Царицы Небесной,50000
,,8,,Виленскому Православному Свято-Духовскому Братству,500
30,14,,,"Вознагражденіе за отошедшіе въ казну имущества, доходы и др",372833
,,1,,Взамѣнъ переданныхъ въ казну имѣній,177778
,,2,,"Взамѣнъ слѣдующихъ по положенію, но не отведенныхъ отъ казны угодій",30436
,,3,,"Взамѣнъ дохода съ переданнаго въ казну, заимообразно, запасностроительнаго капитала духовенства западныхъ епархій",164619
,,,,МИНИСТЕРСТВО ВНУТРЕННИХЪ ДѢЛЪ,180499617
,,,,По общей части,100634177
,,,,Гражданское управленіе,None
,,,,Общіе расходы по управленію,None
31,1,,,Содержаніе центральныхъ учрежденій,1571364
,,1,,Министръ и Товарищи его,51522
,,2,,"Совѣтъ Министра, чиновники особыхъ порученій и состоящіе при Министрѣ и Министерствѣ",100416
,,3,,Канцелярія Министра:,29471
,,,а, личный составъ,21671
,,,б, канцелярскіе и хозяйственные расходы,7800
,,4,,Медицинскій Совѣтъ и его Канцелярія:,45870
,,,а, личный составъ,41270
,,,б, канцелярскіе и хозяйственные расходы,4600
,,5,,Департаментъ Общихъ Дѣлъ:,178975
,,,а, личный составъ,154375
,,,б, канцелярскіе и хозяйственные расходы,24600
,,6,,Департаментъ Полиціи:,189883
,,,а, личный составъ,173283
,,,б, канцелярскіе и хозяйственные расходы,16600
,,7,,Совѣтъ и Главное Управленіе по дѣламъ мѣстнаго хозяйства:,299700
,,,а, личный составъ,268200
,,,б, канцелярскіе и хозяйственные расходы,31500
,,8,,Управленіе Главнаго Врачебнаго Инспектора:,62616
,,,а, личный составъ,38816
,,,б, канцелярскіе и хозяйственные расходы,11000
,,,в, оффиціальныя изданія,12800
,,9,,Земскій Отдѣлъ:,191629
,,,а, личный составъ,149829
,,,б, канцелярскіе и хозяйственные расходы,41800
