nn,chapter,article,paragraph,name,summ
,,4,,На публикаціи и случайныя издержки по завѣдыванію казенными рыболовными оброчными статьями,4000
,,5,,"На землемѣрныя работы, связанныя съ завѣдываніемъ рыболовными оброчными статьями",5000
,,,,"Просвѣщенiе, науки и искусства.",None
351,5,,,Содержаніе высшихъ учебныхъ заведеній.,602590
,,1,,Московскій Сельскохозяйственный Институтъ:,340560
,,,а, личный составъ,212110
,,,б, учебная часть,44000
,,,в, стипендіи и пособія,15450
,,,г, канцелярскіе и хозяйственные расходы,69000
,,2,,Вологодскій Молочно-Хозяйственный Институтъ:,42010
,,,а, личный составъ,29510
,,,б, учебная часть,3500
,,,в, стипендіи и пособія,2000
,,,г, канцелярскіе и хозяйственные расходы,7000
,,3,,Сельскохозяйственный Институтъ Императора Петра I въ Воронежѣ:,60000
,,,а, личный составъ,26000
,,,б, учебная часть,12000
,,,в, стипендіи и пособія,1000
,,,г, канцелярскіе и хозяйственные расходы,21000
,,4,,Институтъ сельскаго хозяйства и лѣсоводства въ Новой Александріи:,160020
,,,а, личный составъ,99620
,,,б, учебная часть,36000
,,,в," стипендіи, пособія учащимся и содержаніе столовой и общежитія.",9250
,,,г, канцелярскіе и хозяйственные расходы,15150
352,6,,,Содержаніе среднихъ учебныхъ заведеній.,1108838
,,1,,Сельскохозяйственныя училища и фермы:,972888
,,,а, личный составъ,426246
,,,б, учебная часть,67245
,,,в, содержаніе частныхъ пансіонеровъ,130450
,,,г, стипендіи и пособія учащимся,100300
,,,д, канцелярскіе и хозяйственные расходы,248647
,,2,,Пособія земствамъ и обществамъ на содержаніе среднихъ сельскохозяйственныхъ учебныхъ заведеній,135945
353,7,,,Содержаніе низшихъ учебныхъ заведеній и другія мѣры содѣйствія сельскохозяйственному образованію,2654284
,,1,,Низшія сельскохозяйственныя учебныя заведенія и фермы:,726817
,,,а, личный составъ,407222
,,,б, учебная часть,32391
,,,в, содержаніе частныхъ пансіонеровъ,24480
,,,г, стипендіи и пособія учащимся,97190
,,,д, канцелярскіе и хозяйственные расходы,165534
,,2,,"Пособія земствамъ, обществамъ и частнымъ лицамъ на содержаніе низшихъ сельскохозяйственныхъ школъ",1057767
,,3,,Устройство и содержаніе сельскохозяйственныхъ курсовъ и чтеній,742000
,,4,,Пособія на содержаніе постоянныхъ сельскохозяйственныхъ курсовъ,127700
354,8,,,Разные расходы по всѣмъ учебнымъ заведеніямъ.,524930
,,1,,Учебныя пособія,44330
,,2,,Подготовленіе профессоровъ и учителей и устройство педагогическихъ съѣздовъ,25600
,,3,,Практическая подготовка по различнымъ отраслямъ сельскаго хозяйства.,440000
,,4,,"Третное, не въ зачетъ, жалованье учителямъ",15000
,,,,Землеустройство и сельская промышленностъ.,None
355,9,,,Содержаніе техниковъ по сельскохозяйственной части.,3020735
,,1,,Спеціалисты по различнымъ отраслямъ сельскаго хозяйства,923335
,,2,,"Инструкторы по сельскому хозяйству и лица, временно приглашаемыя.",1776400
,,3,,Разъѣзды спеціалистовъ и инструкторовъ,306000
,,4,,Сельскохозяйственная агентура въ Сѣверо-Американскихъ Соединенныхъ Штатахъ,15000
356,10,,,"Научныя, опытныя и показательныя сельскохозяйственныя учрежденія и пособія на содержаніе такихъ же учрежденій.",3743180
,,1,,Императорскiй Сельскохозяйственный Музей:,70006
,,,а, личный составъ,8792
,,,б, хозяйственные и канцелярскіе расходы,61214
,,2,,Казенныя опытныя станціи и поля:,977811
,,,а, личный составъ,333340
,,,б, хозяйственные и канцелярскіе расходы,644471
,,3,,Казенныя сельскохозяйственныя лабораторіи:,111570
,,,а, личный составъ,43666
,,,б, хозяйственные и канцелярскіе расходы,67904
,,4,,"Казенныя садовыя заведенія, питомники, плантаціи:",316518
,,,а, личный составъ,90959
,,,б, хозяйственные и канцелярскіе расходы,225559
,,5,,"Пособія на устройство и содержаніе сельскохозяйственныхъ опытныхъ станцій и полей, контрольныхъ станцій, лабораторій, питомниковъ, плантацій, музеевъ и проч.",2000480
,,6,,Сельскохозяйственно-метеорологическія станціи,70000
,,7,,"Научныя и показательно-промысловыя учрежденія по части рыбоводства, рыболовства и охоты",196795
357,11,,,Общія мѣры по развитію и улучшенію различныхъ отраслей сельскаго хозяйства.,4731021
,,1,,"Полеводство, луговодство, садоводство, огородничество, виноградарство и др. спеціальныя культуры",1340000
,,2,,Распространеніе усовершенствованныхъ сельскохозяйственныхъ орудій.,897800
,,3,,Животноводство и молочное хозяйство,1410500
,,4,,Шелководство и пчеловодство,150000
,,5,,Борьба съ вредителями сельскаго хозяйства,150000
,,6,,Сельскохозяйственныя выставки,382000
,,7,,Развитіе дѣятельности селъскохозяйственныхъ обществъ,400721
358,12,—,,Мѣры непосредственной агрономической помощи въ заселяемыхъ раіонахъ,1550000
359,13,—,,На агрономическую помощь населенію въ раіонахъ землеустройства,6000000
,,,,Постройка зданiй и пріобрѣтеніе недвижимыхъ имуществъ.,None
360,14,,,Сооруженіе и ремонтъ зданій.,3650000
,,1,,,3430000
,,,а," Постройка зданій, пріобрѣтеніе недвижимаго имущества и оборудованіе помѣщеній",3064523
,,,б, Пособія земствамъ и обществамъ и др. учрежденіямъ на единовременные расходы по устройству сельскохозяйственныхъ учебныхъ заведеній,365477
,,2,,Ремонтъ,220000
,,,,Отдѣлъ Сельской Экономіи и Сельскохозяйственной Статистики.,3660992
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленiю.,None
361,1,,,Содержаніе центральныхъ учрежденій.,81717
,,1,,Содержаніе Отдѣла Сельской Экономіи и Сельскохозяйственной Статистики:,74717
,,,а, личный составъ,61627
,,,б, канцелярскіе и хозяйственные расходы,8640
,,,в, пособія и награды,4450
,,2,,Расходы по Сельскохозяйственному Совѣту,7000
362,2,,,Разные расходы администраціи.,13000
,,1,,Путевое довольствіе,13000
363,3,,,Разные расходы по управленію.,137000
,,1,,,128000
,,,а, На производство статистико-экономическихъ изслѣдованій и изданій.,78000
,,,б, На подготовительныя для предстоящихъ торговыхъ договоровъ изслѣдованія,50000
,,2,,Расходы по участію въ международномъ сельскохозяйственномъ институтѣ въ Римѣ,9000
,,,,Землеустройство и сельская промышленность.,None
364,4,,,Содержаніе техниковъ по сельскохозяйственной части и расходы по дѣлопроизводству губернскихъ комитетовъ о ссудахъ на сельскохозяйственныя улучшенія.,12360
,,1,,Расходы на содержаніе техниковъ по сельскохозяйственной части для нуждъ меліоративнаго кредита,5000
,,2,,Расходы по дѣлопроизводству губернскихъ о ссудахъ на сельскохозяйственныя улучшенія комитетовъ,7360
365,5,1,,На выдачу ссудъ на сельскохозяйственныя улучшенія,1000000
366,6,,,Развитіе и поощреніе кустарной промышленности.,1516915
,,1,,Содержаніе спеціалистовъ по кустарному производству,100000
,,2,,Содержаніе кустарнаго музея:,13199
,,,а, личный составъ,2919
,,,б, канцелярскіе и хозяйственные расходы,10280
,,3,,Содержаніе инструкторскихъ школъ по кустарнымъ производствамъ,193716
,,4,,"Пособія земствамъ, кустарнымъ комитетамъ, обществамъ и отдѣльнымъ лицамъ на устройство и содержаніе складовъ, мастерскихъ, школъ, выставокъ, музеевъ и пр.",900000
,,5,,Разъѣзды по дѣламъ кустарной промышленности,25000
,,6,,Расходы хозяйственно-операціонные,185000
,,7,,На развитіе кустарной промышленности въ раіонахъ закрытыхъ заводовъ на Уралѣ,100000
367,7,,,Содѣйствіе сельскому огнестойкому строительству,720000
,,,,Постройка зданій и пріобрѣтеніе недвижимыхъ имуществъ.,None
368,8,,,Сооруженіе и ремонтъ зданій,130000
,,,,Землеустройство и сельская промышленность.,None
369,9,,,На приплату желѣзнымъ дорогамъ за перевозку овецъ изъ Европейской Россіи въ Азіатскую,20000
370,10,,,"Пособія земствамъ, сельскохозяйственнымъ обществамъ, товариществамъ и артелямъ на развитіе и усовершенствованіе кооперативнаго сбыта продуктовъ сельскаго хозяйства",30000
,,,,Отдѣлъ Земельныхъ Улучшеній.,9798161
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленію.,None
371,1,,,Содержаніе центральныхъ учрежденій.,145232
,,1,,Отдѣлъ Земельныхъ Улучшеній:,105232
,,,а, личный составъ,82360
,,,б, канцелярскіе и хозяйственные расходы,22872
,,2,,"На приглашеніе по вольному найму гидротехниковъ, геологовъ и другихъ спеціалистовъ",40000
372,2,,,Содержаніе мѣстныхъ учрежденій.,910225
,,1,,Штатные гидротехническіе чины при Управленіяхъ Земледѣлія и Государственныхъ Имуществъ въ Европейской Россіи:,79510
,,,а,личный составъ,66710
,,,в, путевое довольствіе,12800
,,2,,Вольнонаемные гидротехническіе чины при Управленіяхъ Земледѣлія и Государственныхъ Имуществъ въ Европейской Россіи:,770000
,,,а, личный составъ,509200
,,,б, канцелярскіе и хозяйственные расходы,99900
,,,в, разъѣзды,160900
,,3,,Водныя учрежденія на Кавказѣ:,50561
,,,а, личный составъ,46561
,,,б, канцелярскіе и хозяйственные расходы,4000
,,4,,Чиновники по ирригаціи при Управленіи Земледѣлія и Государственныхъ Имуществъ въ Туркестанскомъ краѣ:,6804
,,,а,личный составъ,6804
,,5,,Выдачи по мѣстнымъ привилегіямъ службы:,3350
,,,,прибавочное жалованье,3350
373,3,,,Разные расходы администраціи.,81500
,,1,,Путевое довольствіе,22000
,,2,,"Командировочное довольствіе лицамъ, посылаемымъ за границу для изученія земельно-меліоративнаго и торфяного дѣла",28000
,,3,,"Составленіе и печатаніе отчетовъ, картъ и прочихъ справочныхъ матеріаловъ",30000
,,4,,Награды и пособія,1500
,,,,Землеустройство и сельская промышленностъ.,None
374,4,,,"Научныя, опытныя и показательныя сельскохозяйственныя учрежденія и пособія на содержаніе такихъ же учрежденій.",95953
,,1,,Казенныя опытныя станціи и поля (Караязское имѣні:,12853
,,,а, личный составъ,3153
,,,б, хозяйственные расходы,700
,,,в, операціонные расходы по сооруженіямъ въ имѣніи,9000
,,2,,Изученіе гидромодуля,83100
375,5,,,Общія мѣры по развитію и улучшенію различныхъ отраслей сельскаго хозяйства.,62700
,,1,,Выставки земельныхъ меліорацій и торфяного дѣла,25000
,,2,,Содѣйствіе земствамъ въ производствѣ гидрогеологическихъ и гидротехническихъ изслѣдованій,27700
,,3,,Мѣры по подготовкѣ гидротехниковъ,10000
,,,,Казенныя операціи.,None
,,,,Разныя хозяйственныя операціи казны.,None
376,6,,,"Осушка болотъ, орошеніе и обводненіе земель.",8432551
,,1,,Въ Европейскои Россіи:,2751200
,,,А,Операціонные расходы на производство изысканій и работъ для увеличенія и улучшенія земельнаго фонда и для надобностей землеустройства,2580830
,,,Б,Изыскательныя партіи по осушенію и обводненію земель Европейской Россіи,170370
,,2,,На Кавказѣ:,1568150
,,,а, личный составъ,169903
,,,б, канцелярскіе и хозяйственные расходы,25571
,,,в, разъѣзды,28248
,,,г, операціонные расходы,1344428
,,3,,Въ Туркестанѣ:,3058955
,,,а, личный составъ,549090
,,,б, канцелярскіе и хозяйственные расходы,93603
,,,в, разъѣзды,133320
,,,г, операціонные расходы,2282942
,,4,,Въ Степныхъ областяхъ:,226275
,,,а, личный составъ,93600
,,,б, канцелярскіе и хозяйственные расходы,15250
,,,в, разъѣзды,27075
,,,г, операціонные расходы,90350
,,5,,Въ Сибири:,827971
,,,а, личный составъ,169517
,,,б, канцелярскіе и хозяйственные расходы,40700
,,,в, разъѣзды,41750
,,,г, операціонные расходы,576004
377,7,,,Торфодобываніе.,None
,,1,,Содержаніе чиновъ торфмейстерской части и другіе расходы по торфяному дѣлу:,70000
,,,а, личный составъ,23200
,,,б, канцелярскіе и хозяйственные расходы,10480
,,,в, разъѣзды,9000
,,,г, операціонные расходы,27320
,,,,Лѣсной Департаментъ.,34549676
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленію.,None
378,1,,,Содержаніе центральныхъ учрежденій.,275009
,,1,,Лѣсной Департаментъ:,192932
,,,а, личный составъ,175132
,,,б, канцелярскіе и хозяйственные расходы,17800
,,2,,"Чины Корпуса Лѣсничихъ, состоящіе при центральномъ управленіи",82077
379,2,,,Содержаніе мѣстныхъ учрежденій.,13452678
,,1,,Чины Корпуса Лѣсничихъ,6467575
,,2,,Межевые чины лѣсного вѣдомства,97258
,,3,,Чины лѣсной стражи,6727285
,,4,,Лѣсоохранительные Комитеты:,104131
,,,а, личный составъ,10631
,,,б, канцелярскіе и хозяйственные расходы,85700
,,,в, наемъ помѣщеній,7800
,,5,,Образцовыя степныя лѣсничества,5214
,,6,,Выдачи по мѣстньмъ привилегіямъ службы:,51215
,,,а, путевыя пособія,16312
,,,б, прибавочное жалованье,34903
380,3,,,Разные расходы администраціи.,940696
,,1,,Путевое довольствіе,117656
,,2,,Награды и пособія,817040
,,3,,Вознагражденіе за взиманіе сборовъ и платежей въ Приамурскомъ краѣ.,6000
,,,,"Просвѣщенiе, науки и искусства.",None
381,4,,,Содержаніе выcшихъ учебныхъ заведеній.,197984
,,1,,Императорскій Лѣсной Институтъ:,197984
,,,а, личный составъ,66338
,,,б, учебная часть,24000
,,,в, стипендіи и пособія студентамъ,39350
,,,г, канцелярскіе и хозяйственные расходы,55296
,,,д," дополнительный кредитъ на расходы, вслѣдствіе увеличенія числа студентовъ въ Институтѣ",13000
382,5,,,Содержаніе низшихъ учебныхъ заведеній.,228813
,,1,,Низшія лѣсныя школы:,228813
,,,а, личный составъ,68625
,,,б, хозяйственные и другіе расходы,160188
,,,,Землеустройство и сельская промышленностъ.,None
383,6,,,Мѣры поощренія лѣсоразведенія.,1134450
,,1,,Содѣйствіе населенію въ дѣлѣ укрѣпленія летучихъ песковъ и овраговъ:,1098950
,,,а, личный составъ,200958
,,,б, операціонные расходы,897992
,,2,,Преміи за труды по лѣсоразведенію,10500
,,3,,Устройство лѣсныхъ отдѣловъ на выставкахъ,25000
,,,,Постройка зданiй и прiобрѣтенiе недвижимыхъ имуществъ.,None
384,8,,,Сооруженіе и ремонтъ зданій.,798000
,,1,,"Постройка зданій, пріобрѣтеніе недвижимыхъ имуществъ, приспособленіе и оборудованіе помѣщеній",623000
,,2,,Ремонтъ,175000
,,,,Казенныя операціи.,None
,,,,Разныя хозяйственныя операціи казны.,None
385,9,1,,Пріобрѣтеніе лѣсныхъ участковъ,37611
386,10,,,Работы по устройству казенныхъ лѣсовъ.,5919661
,,1,,Лѣсоустройство,2059661
,,2,,,3685000
,,,а, Лѣсныя и культурныя работы,1435000
,,,б, На работы по лѣсовозобновленію вырубаемыхъ лѣсопокупателями площадей въ казенныхъ дачахъ,2250000
,,3,,"Публикаціи о торгахъ на продажу лѣса, печатаніе разныхъ бланковъ, ассигновокъ и изданій лѣсного вѣдомства, а также заготовка книгъ и клеймъ",125000
,,5,,"Вознагражденіе лицамъ, вызываемымъ къ тушенію пожаровъ",50000
387,11,,,Лѣсныя операціи.,1500000
,,1,,Хозяйственная заготовка лѣса въ казенныхъ дачахъ:,1500000
,,,а, личный составъ,85000
,,,б, операціонные расходы,1415000
388,12,,,Курорты и дачные участки.,57566
,,2,,Расходы по благоустройству казенныхъ дачныхъ участковъ,57566
389,13,,,Уплата сборовъ съ казенныхъ имуществъ.,10007208
,,1,,Земскіе и гминные сборы,10007208
,,,,Переселенческое Управленіе.,28068163
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленію.,None
390,1,,,Содержаніе центральныхъ учрежденій.,194050
,,1,,Переселенческое Управленіе:,134050
,,,а, личный составъ,74050
,,,б, хозяйственные и канцелярскіе расходы,30000
,,,в, награды и пособія,13000
,,,г, путевое довольствіе,17000
,,2,,Справочныя и статистическія изданія,60000
,,,,Землеустройство и сельская промышленность.,None
391,2,,,"Учрежденія, завѣдывающія движеніемъ и водвореніемъ переселенцевъ.",973781
,,1,,Личный составъ:,378756
,,,а, въ Сибири,273849
,,,б, на Дальнемъ Востокѣ,91169
,,,в, на Кавказѣ,13738
,,2,,Канцелярскіе и хозяйственные расходы:,333895
,,,а, въ Сибири,208550
,,,б, на Дальнемъ Востокѣ,99750
,,,в, на Кавказѣ,25595
,,3,,Путевое довольствіе:,117000
,,,а, въ Сибири,84940
,,,б, на Дальнемъ Востокѣ,23560
,,,в, на Кавказѣ,8500
,,4,,"На возмѣщеніе земскимъ и крестьянскимъ учрежденіямъ части расходовъ, связанныхъ съ упорядоченіемъ переселенческаго движенія и организаціей группового ходачества",30000
,,5,,Статистико-экономическое обслѣдованіе переселенческихъ хозяйствъ,50000
,,6,,Регистрація переселенцевъ и ходоковъ:,64130
,,,а, въ Сибири,20050
,,,б, на Дальнемъ Востокѣ,44080
392,3,,,"Личный составъ учрежденій, завѣдывающихъ образованіемъ переселенческихъ участковъ.",1396870
,,1,,По образованію участковъ для поселеннаго пользованія:,197000
,,,а, въ Сибири,150250
,,,б, на Дальнемъ Востокѣ,46750
,,2,,По образованію участковъ для единоличнаго пользованія:,445050
,,,а, въ Сибири,356950
,,,б, на Дальнемъ Востокѣ,88100
,,3,,По разбивкѣ не заселенныхъ участковъ на хутора и отруба:,76900
,,,а, въ Сибири,53250
,,,б, на Дальнемъ Востокѣ,23650
,,4,,По внутринадѣльному межеванію:,421800
,,,а, въ Сибири,363800
,,,б, на Дальнемъ Востокѣ,58000
,,5,,"По отводу постоянныхъ надѣловъ киргизамъ, переходящимъ на осѣдлое положеніе",83950
,,6,,Дополнительное вознагражденіе:,122000
,,,а, въ Сибири,101000
,,,б, на Дальнемъ Востокѣ,21000
,,7,,Кавказскій переселенческій отрядъ,50170
393,4,,,Операціонные расходы по образованію переселенческихъ участковъ.,1494664
,,1,,По образованію участковъ для поселеннаго пользованія:,132437
,,,а, въ Сибири,91864
,,,б, на Дальнемъ Востокѣ,40573
,,2,,По образованію участковъ для единоличнаго пользованія:,411224
,,,а, въ Сибири,300297
,,,б, на Дальнемъ Востокѣ,110927
,,3,,По разбивкѣ не заселенныхъ участковъ на хутора и отруба:,70849
,,,а, въ Сибири,42920
,,,б, на Дальнемъ Востокѣ,27929
,,4,,По внутринадѣльному межеванію:,60318
,,,а, въ Сибири,52935
,,,б, на Дальнемъ Востокѣ,7383
,,5,,"По отводу постоянныхъ надѣловъ киргизамъ, переходящимъ на осѣдлое положеніе",61996
,,6,,Пріобрѣтеніе и ремонтъ геодезическихъ инструментовъ,41000
,,7,,Кавказскій переселенческій отрядъ,28800
,,8,,Обслѣдованіе землепользованія киргизскаго и старожилаго населенія:,178040
,,,а, въ Сибири,164800
,,,б, на Дальнемъ Востокѣ,9200
,,,в, на Кавказѣ,4040
,,9,,Раскорчевка лѣса на таежныхъ переселенческихъ участкахъ:,160000
,,,а, въ Сибири,80000
,,,б, на Дальнемъ Востокѣ,80000
,,10,,Возмѣщеніе инородцамъ убытковъ при образованіи переселенческихъ участковъ,350000
394,5,,,Изслѣдованіе новыхъ колонизаціонныхъ раіоновъ.,712640
,,1,,Личный составъ и операціонные расходы экспедицій:,340000
,,,а, въ Сибири,295000
,,,б, на Дальнемъ Востокѣ,45000
,,2,,Агрономическія изслѣдованія и метеорологическія наблюденія:,372640
,,,а, въ Сибири,197440
,,,б, на Дальнемъ Востокѣ,175200
395,6,,,Дорожные техники.,332850
,,1,,Личный составъ:,265900
,,,а, въ Сибири,133500
,,,б, на Дальнемъ Востокѣ,119800
,,,в, на Кавказѣ,12600
,,2,,Путевое довольствіе:,66950
,,,а, въ Сибири,34400
,,,б, на Дальнемъ Востокѣ,29900
,,,в, на Кавказѣ,2650
396,7,,,Операціонные расходы по проведенію дорогъ.,4424637
,,1,,Изысканія дорогъ:,134888
,,,а, въ Сибири,82950
,,,б, на Дальнемъ Востокѣ,45000
,,,в, на Кавказѣ,6938
,,2,,Сооруженіе дорогъ:,3529542
,,,а, въ Сибири,1772653
,,,б, на Дальнемъ Востокѣ,1575532
,,,в, на Кавказѣ,181357
,,3,,Содержаніе и ремонтъ дорогъ:,760207
,,,а, въ Сибири,298055
,,,б, на Дальнемъ Востокѣ,416700
,,,в, на Кавказѣ,45452
397,8,,,Гидротехники.,325000
,,1,,Личный составъ:,269000
,,,а, въ Сибири,240800
,,,б, на Дальнемъ Востокѣ,28200
,,2,,Путевое довольствіе:,56000
,,,а, въ Сибири,50900
,,,б, на Дальнемъ Востокѣ,5100
398,9,,,Операціонные расходы по гидротехническимъ работамъ.,1640800
,,1,,Изысканія:,645100
,,,а, въ Сибири,586200
,,,б, на Дальнемъ Востокѣ,58900
,,2,,Гидротехническія сооруженія:,980700
,,,а, въ Сибири,918702
,,,б, на Дальнемъ Востокѣ,66998
,,3,,Ремонтъ:,15000
,,,а,въ Сибири,14000
,,,б,на Дальнемъ Востокѣ,1000
399,10,,,Поземельно-устроительные отряды.,982558
,,1,,Личный составъ:,823638
,,,а, въ Сибири,592905
,,,б, на Дальнемъ Востокѣ,230733
,,2,,Хозяйственно-операціонные расходы:,158920
,,,а, въ Сибири,128280
,,,б, на Дальнемъ Востокѣ,30640
400,11,,,Выдачи по мѣстнымъ привилегіямъ службы.,168342
,,1,,Путевыя пособія,92608
,,2,,Прибавочное жалованье,75734
401,12,,,Домообзаводственныя ссуды.,7600000
,,1,,Въ Сибири,5390000
,,2,,На Дальнемъ Востокѣ,2110000
,,3,,На Кавказѣ,100000
402,13,,,Ссуды на общеполезныя надобности.,2676000
,,1,,"Церкви, общественныя зданія, промышленныя предпріятія и пр.:",1676000
,,,а, въ Сибири,1182000
,,,б, на Дальнемъ Востокѣ,418000
,,,в, на Кавказѣ,76000
,,2,,Ссуды на внутринадѣльное межеваніе:,1000000
,,,а, въ Сибири,970000
,,,б, на Дальнемъ Востокѣ,30000
403,14,,,Путевыя ссуды.,101500
,,1,,Въ Сибири,85000
,,2,,На Дальнемъ Востокѣ,65000
,,3,,На Кавказѣ,1500
404,15,,,Врачебно-продовольственная помощь.,4958471
,,1,,Содержаніе врачебнаго персонала:,930687
,,,а, въ Сибири,589332
,,,б, на Дальнемъ Востокѣ,258075
,,,в, на Кавказѣ,83280
,,2,,Содержаніе пунктовъ:,2446396
,,,а, въ Сибири,1506929
,,,б, на Дальнемъ Востокѣ,853072
,,,в, на Кавказѣ,86395
,,3,,Постройка зданій на переселенческихъ пунктахъ и ихъ ремонтъ:,1254288
,,,а, въ Сибири,895593
,,,б, на Дальнемъ Востокѣ,313370
,,,в, на Кавказѣ,45325
,,4,,Борьба съ эпидеміями:,160000
,,,а, за Ураломъ,150000
,,,б, на Кавказѣ,10000
,,5,,Содержаніе дѣтей-сиротъ переселенцевъ:,154500
,,,а, въ Сибири,116000
,,,б, на Дальнемъ Востокѣ,37000
,,,в, на Кавказѣ,1500
,,6,,"Выдача стипендій въ высшихъ учебныхъ заведеніяхъ, дающихъ медицинское образованіе",12600
405,16,,,Ветеринарная помощь.,86000
,,1,,Въ Сибири,45220
,,2,,На Дальнемъ Востокѣ,40780
,,,,ГЛАВНОЕ УПРАВЛЕНІЕ ГОСУДАРСТВЕННАГО КОННО3АВОДСТВА.,2593450
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленію.,None
406,1,,,Содержаніе центральныхъ учрежденій.,123000
,,1,,Управляющій Государственнымъ Коннозаводствомъ,7630
,,2,,"Лица, состоящія при Главномъ Управленіи",18197
,,3,,Канцелярія Главнаго Управленія:,97173
,,,а, личный составъ,71873
,,,б, канцелярскіе и хозяйственные расходы,19000
,,,в, содержаніе дома Главнаго Управленія,6300
407,2,,,Разные расходы администраціи.,38650
,,1,,Путевое довольствіе,18500
,,2,,Награды и пособія,15000
,,3,,Пособія на воспитаніе дѣтей,5150
,,,,Постройка зданій и пріобрѣтеніе недвижимыхъ имуществъ.,None
408,3,,,Сооруженіе и ремонтъ зданій.,140000
,,1,,"Постройка зданій, пріобрѣтеніе недвижимыхъ имуществъ, приспособленіе и оборудованіе помѣщеній",85000
,,2,,Ремонтъ,55000
,,,,Землеустройство и сельская промышленностъ.,None
409,4,1,,Мѣры поощренія коннозаводства и коневодства,100000
,,,,Расходы по пенсіонному обезпеченію служащихъ и аренды.,None
410,5,,,Пенсіи и пенсіонныя пособія изъ казны.,15054
,,1,,Пособіе кассѣ для вольнонаемныхъ служащихъ и расходы по дѣлопроизводству,15054
,,,,Казенныя операціи.,None
,,,,Разныя хозяйственныя операціи казны.,None
411,6,,,Содержаніе государственныхъ конскихъ учрежденій.,865201
,,1,,"Конскіе заводы, заводскія конюшни и степные разсадники:",417203
,,,а, личный составъ,180743
,,,б, прибавочное жалованье,15000
,,,в, канцелярскіе и хозяйственные расходы,138690
,,,г, содержаніе лазаретовъ для служащихъ и покупка медикаментовъ,2500
,,,д, содержаніе коннозаводскихъ училищъ,9900
,,,е, содержаніе и наемъ помѣщеній,70370
,,2,,Содержаніе вольнонаемной прислуги,445160
,,3,,Выдачи по мѣстнымъ привилегіямъ службы:,2838
,,,б, прибавочное жалованье,2688
,,,в, пособія на воспитаніе дѣтей,150
412,7,,,Уплата сборовъ съ казенныхъ имуществъ.,41305
,,1,,"Городскіе, земскіе и гминные сборы",41305
413,8,,,Операціонные расходы.,1270240
,,1,,Заготовленіе фуража,742000
,,2,,Веденіе полевого хозяйства,28240
,,3,,Путевыя издержки по проводу лошадей и наемъ помѣщеній для случныхъ пунктовъ,50000
,,4,,Покупка лошадей,450000
,,,,ВОЕННОЕ МИНИСТЕРСТВО.,550900431
,,,,Главное Интендантское Управленіе.,361457998
,,,,Оборона государства.,None
,,,,Общіе расходы по управленію.,None
414,1,,,Содержаніе центральныхъ учрежденій.,503587
,,1,,Главное Интендантское Управленіе:,401587
,,,а, личный составъ,378827
,,,б, канцелярскіе и хозяйственные расходы,22760
,,2,,На пособія,102000
415,2,,,Содержаніе мѣстныхъ учрежденій.,3325650
,,1,,Окружныя интендантскія управленія съ интендантскими пріемными коммисіями и отдѣльныя управленія по довольствію войскъ:,1496970
,,,а, личный составъ,1451495
,,,б, канцелярскіе и хозяйственные расходы,45475
,,2,,Техническія интендантскія заведенія:,198782
,,,а, личный составъ,192422
,,,б, канцелярскіе и хозяйственные расходы,6360
,,3,,Продовольственные магазины:,463795
,,,а, личный составъ,452019
,,,б, канцелярскіе и хозяйственные расходы,11776
,,4,,Вещевые склады:,873399
,,,а, личный составъ,864076
,,,б, канцелярскіе и хозяйственные расходы,9323
,,5,,Содержаніе зданій,202855
,,6,,Наемъ помѣщеній,55849
,,7,,Выдачи по мѣстнымъ привилегіямъ службы,34000
416,3,,,Разные расходы администраціи.,1404259
,,1,,Почтовые и телеграфные расходы центральныхъ и мѣстныхъ учрежденій военнаго вѣдомства,204000
,,2,,Путевое довольствіе при командировкахъ и разъѣздахъ чиновъ центральныхъ и мѣстныхъ учрежденій военнаго вѣдомства,1200259
417,4,,,Разные расходы по управленію.,131807
,,1,,"Печатныя, чертежныя и переплетныя работы",119935
,,2,,Пособіе на изданіе «Интендантскаго журнала»,8000
,,3,,Пріобрѣтеніе образцовыхъ вещей и выписка ихъ изъ-за границы,3872
,,,,Воинскія части арміи и команды флота.,None
418,5,,,Обмундированіе и снаряженіе.,49865002
,,1,,Пріобрѣтеніе предметовъ вещевого довольствія:,44369440
,,,а," снабженіе войскъ обмундированіемъ, бѣльемъ, обувью, снаряженіемъ и лагерными матеріалами",40715714
,,,б, на пригонку и обновленіе обмундированія по числу 1.100.000 нижнихъ чиновъ по 2 р. на каждаго,2200000
,,,в, довольствіе войскъ теплой одеждой,930000
,,,г, заготовленіе обвязочныхъ и укладочныхъ матеріаловъ,255310
,,,д," заготовленіе госпитальныхъ холстовъ, полотенъ, другихъ матеріаловъ и вещей",60797
,,,е," луженіе посуды, починка и передѣлка разныхъ вещей, возобновленіе и окраска вещей, пріобрѣтеніе предметовъ для поддержанія чистоты и опрятности въ клиническихъ госпиталяхъ и проч.",7000
,,,ж, постройка госпитальныхъ палатокъ,118450
,,,з," заведеніе и починка постовыхъ принадлежностей для часовыхъ, содержащихъ караулы на открытыхъ мѣстахъ",53169
