part,chapter,article,name,summ
,,5,Съ маклерскихъ и нотаріальныхъ книгъ,—
,,6,"Съ межевыхъ плановъ и книгъ, за чертежныя и полевыя работы.",—
,,7,Сборы за патенты на торговыя суда и ластовые,—
,,8,"Съ грамотъ (на княжеское, графское и дворянское достоинства и на почетное гражданство)",—
,,9,Съ дипломовъ и свидѣтельствъ учебныхъ заведеній,—
,,10,За привилегіи и право собственности на фабричные рисунки и модели,—
,,11,Сборъ за наложеніе и снятіе запрещенія на имѣнія,—
,12,,Съ переходящихъ имуществъ.,—
,,1,Крѣпостныя пошлины,—
,,2,"Пошлины съ имуществъ, переходящихъ безмездными способами",—
,,3,Пени за несвоевременный взносъ пошлинъ съ наслѣдствъ и за нарушеніе правилъ объ этихъ пошлинахъ и процепты за разсрочку ихъ,—
,13,,Сборы съ товаровъ и судовъ въ портахъ,—
,14,,"Сборъ съ пассажировъ и грузовъ, перевозимыхъ по желѣзнымъ дорогамъ въ пассажирскихъ и товаро-пассажирскихъ поѣздахъ",26700000
,15,,Съ застрахованныхъ отъ огня имуществъ,—
,16,,Пошлины разныхъ наименованій.,—
,,1,Консульскіе сборы,—
,,2,Пробирные сборы,—
,,3,Сборъ при увеличеніи содержанія состоящимъ на государственной службѣ лицамъ и при поступленіи на службу,—
,,4,Вычеты на составленіе пенсіоннаго капитала,—
,,5,Сборъ съ билетовъ на право содержанія оружія,—
,,6,Сборъ за повѣрку частныхъ спиртомѣровъ и сахарометровъ,—
,,9,Судоходные сборы,—
,,10,Мостовой и сплавной сборы по губерніямъ Царства Польскаго,—
,,12,Однопроцентный сборъ на заготовленіе геодезическихъ и математическихъ инструментовъ,—
,,13,Карантинные сборы,—
,,14,Сборъ съ свидѣтельствъ на право охоты и взысканія за нарушеніе правилъ объ охотѣ,—
,,15,Сборъ съ частныхъ повѣренныхъ,—
,,16,"Сборъ съ лицъ, пріѣзжающихъ на ярмарки",—
,,17,Сборъ на содержаніе надзора за дѣятельностью страховыхъ учрежденій и обществъ,—
,,18,Сборъ съ паровыхъ котловъ и локомобилей,—
,,19,Пошлина съ свидѣтельствъ на товарные знаки,—
,,20,"Сборъ съ китайцевъ и корейцевъ, проживающихъ въ Приамурскомъ краѣ",—
,,21,Сборъ за вывѣрку и клейменіе мѣръ и вѣсовъ,—
,,,Главное Управленіе Неокладныхъ Сборовъ и Казенной Продажи Питей.,3000
,11,,"Гербовыя, судебныя, канцелярскія и съ записи документовъ.",—
,,1,Гербовый сборъ,—
,,2,"Судебныя пошлины и сборъ съ бумаги по дѣламъ, производящимся въ судебныхъ установленіяхъ",—
,,3,Канцелярская актовая трехрублевая пошлина,—
,,4,Канцелярскіе пошлины и сборы за составленіе и выдачу разныхъ документовъ,—
,,5,Съ маклерскихъ и нотаріальныхъ книгъ,—
,,6,"Съ межевыхъ плановъ и книгъ, за чертежныя и полевыя работы.",—
,,7,Сборы за патенты на торговыя суда и ластовые,—
,,8,"Съ грамотъ (на княжеское, графское и дворянское достоинства и на почетное гражданство)",—
,,9,Съ дипломовъ и свидѣтельствъ учебныхъ заведеній,—
,,10,За привилегіи и право собственности на фабричные рисунки и модели,—
,,11,Сборъ за наложеніе и снятіе запрещенія на имѣнія,—
,12,,Съ переходящихъ имуществъ.,—
,,1,Крѣпостныя пошлины,—
,,2,"Пошлины съ имуществъ, переходящихъ безмездными способами",—
,,3,Пени за несвоевременный взносъ пошлинъ съ наслѣдствъ и за нарушеніе правилъ объ этихъ пошлинахъ и процепты за разсрочку ихъ,—
,13,,Сборы съ товаровъ и судовъ въ портахъ,—
,14,,"Сборъ съ пассажировъ и грузовъ, перевозимыхъ по желѣзнымъ дорогамъ въ пассажирскихъ и товаро-пассажирскихъ поѣздахъ",—
,15,,Съ застрахованныхъ отъ огня имуществъ,—
,16,,Пошлины разныхъ наименованій.,3000
,,1,Консульскіе сборы,—
,,2,Пробирные сборы,—
,,3,Сборъ при увеличеніи содержанія состоящимъ на государственной службѣ лицамъ и при поступленіи на службу,—
,,4,Вычеты на составленіе пенсіоннаго капитала,—
,,5,Сборъ съ билетовъ на право содержанія оружія,—
,,6,Сборъ за повѣрку частныхъ спиртомѣровъ и сахарометровъ,3000
,,9,Судоходные сборы,—
,,10,Мостовой и сплавной сборы по губерніямъ Царства Польскаго,—
,,12,Однопроцентный сборъ на заготовленіе геодезическихъ и математическихъ инструментовъ,—
,,13,Карантинные сборы,—
,,14,Сборъ съ свидѣтельствъ на право охоты и взысканія за нарушеніе правилъ объ охотѣ,—
,,15,Сборъ съ частныхъ повѣренныхъ,—
,,16,"Сборъ съ лицъ, пріѣзжающихъ на ярмарки",—
,,17,Сборъ на содержаніе надзора за дѣятельностью страховыхъ учрежденій и обществъ,—
,,18,Сборъ съ паровыхъ котловъ и локомобилей,—
,,19,Пошлина съ свидѣтельствъ на товарные знаки,—
,,20,"Сборъ съ китайцевъ и корейцевъ, проживающихъ въ Приамурскомъ краѣ",—
,,21,Сборъ за вывѣрку и клейменіе мѣръ и вѣсовъ,—
,,,Министерство Юстиціи по общей части.,1479400
,11,,"Гербовыя, судебныя, канцелярскія и съ записи документовъ.",1230400
,,1,Гербовый сборъ,—
,,2,"Судебныя пошлины и сборъ съ бумаги по дѣламъ, производящимся въ судебныхъ установленіяхъ",—
,,3,Канцелярская актовая трехрублевая пошлина,—
,,4,Канцелярскіе пошлины и сборы за составленіе и выдачу разныхъ документовъ,656000
,,5,Съ маклерскихъ и нотаріальныхъ книгъ,—
,,6,"Съ межевыхъ плановъ и книгъ, за чертежныя и полевыя работы.",11600
,,7,Сборы за патенты на торговыя суда и ластовые,—
,,8,"Съ грамотъ (на княжеское, графское и дворянское достоинства и на почетное гражданство)",75000
,,9,Съ дипломовъ и свидѣтельствъ учебныхъ заведеній,—
,,10,За привилегіи и право собственности на фабричные рисунки и модели,—
,,11,Сборъ за наложеніе и снятіе запрещенія на имѣнія,487800
,12,,Съ переходящихъ имуществъ.,—
,,1,Крѣпостныя пошлины,—
,,2,"Пошлины съ имуществъ, переходящихъ безмездными способами",—
,,3,Пени за несвоевременный взносъ пошлинъ съ наслѣдствъ и за нарушеніе правилъ объ этихъ пошлинахъ и процепты за разсрочку ихъ,—
,13,,Сборы съ товаровъ и судовъ въ портахъ,—
,14,,"Сборъ съ пассажировъ и грузовъ, перевозимыхъ по желѣзнымъ дорогамъ въ пассажирскихъ и товаро-пассажирскихъ поѣздахъ",—
,15,,Съ застрахованныхъ отъ огня имуществъ,—
,16,,Пошлины разныхъ наименованій.,249000
,,1,Консульскіе сборы,—
,,2,Пробирные сборы,—
,,3,Сборъ при увеличеніи содержанія состоящимъ на государственной службѣ лицамъ и при поступленіи на службу,—
,,4,Вычеты на составленіе пенсіоннаго капитала,—
,,5,Сборъ съ билетовъ на право содержанія оружія,—
,,6,Сборъ за повѣрку частныхъ спиртомѣровъ и сахарометровъ,—
,,9,Судоходные сборы,—
,,10,Мостовой и сплавной сборы по губерніямъ Царства Польскаго,—
,,12,Однопроцентный сборъ на заготовленіе геодезическихъ и математическихъ инструментовъ,—
,,13,Карантинные сборы,—
,,14,Сборъ съ свидѣтельствъ на право охоты и взысканія за нарушеніе правилъ объ охотѣ,—
,,15,Сборъ съ частныхъ повѣренныхъ,249000
,,16,"Сборъ съ лицъ, пріѣзжающихъ на ярмарки",—
,,17,Сборъ на содержаніе надзора за дѣятельностью страховыхъ учрежденій и обществъ,—
,,18,Сборъ съ паровыхъ котловъ и локомобилей,—
,,19,Пошлина съ свидѣтельствъ на товарные знаки,—
,,20,"Сборъ съ китайцевъ и корейцевъ, проживающихъ въ Приамурскомъ краѣ",—
,,21,Сборъ за вывѣрку и клейменіе мѣръ и вѣсовъ,—
,,,Министерство Народнаго Просвѣщенія.,45610
,11,,"Гербовыя, судебныя, канцелярскія и съ записи документовъ.",45610
,,1,Гербовый сборъ,—
,,2,"Судебныя пошлины и сборъ съ бумаги по дѣламъ, производящимся въ судебныхъ установленіяхъ",—
,,3,Канцелярская актовая трехрублевая пошлина,—
,,4,Канцелярскіе пошлины и сборы за составленіе и выдачу разныхъ документовъ,410
,,5,Съ маклерскихъ и нотаріальныхъ книгъ,—
,,6,"Съ межевыхъ плановъ и книгъ, за чертежныя и полевыя работы.",—
,,7,Сборы за патенты на торговыя суда и ластовые,—
,,8,"Съ грамотъ (на княжеское, графское и дворянское достоинства и на почетное гражданство)",—
,,9,Съ дипломовъ и свидѣтельствъ учебныхъ заведеній,45200
,,10,За привилегіи и право собственности на фабричные рисунки и модели,—
,,11,Сборъ за наложеніе и снятіе запрещенія на имѣнія,—
,12,,Съ переходящихъ имуществъ.,—
,,1,Крѣпостныя пошлины,—
,,2,"Пошлины съ имуществъ, переходящихъ безмездными способами",—
,,3,Пени за несвоевременный взносъ пошлинъ съ наслѣдствъ и за нарушеніе правилъ объ этихъ пошлинахъ и процепты за разсрочку ихъ,—
,13,,Сборы съ товаровъ и судовъ въ портахъ,—
,14,,"Сборъ съ пассажировъ и грузовъ, перевозимыхъ по желѣзнымъ дорогамъ въ пассажирскихъ и товаро-пассажирскихъ поѣздахъ",—
,15,,Съ застрахованныхъ отъ огня имуществъ,—
,16,,Пошлины разныхъ наименованій.,—
,,1,Консульскіе сборы,—
,,2,Пробирные сборы,—
,,3,Сборъ при увеличеніи содержанія состоящимъ на государственной службѣ лицамъ и при поступленіи на службу,—
,,4,Вычеты на составленіе пенсіоннаго капитала,—
,,5,Сборъ съ билетовъ на право содержанія оружія,—
